;rank;address;class;comments
0;65252,0;;;
1;44659,0;;;
2;43379,99;;;
3;39523,72;;;
4;39447,0;;;
5;37565,0;;;
6;37307,95;;;
7;36498,16;;;
8;36278,0;;;
9;36201,79;;;
10;34725,94;;;
11;34211,67;;;
12;33653,0;;;
13;32246,0;;;
14;31741,86;;;
15;29346,61;;;
16;29144,7;;;
17;29001,05;;;
18;28745,41;;;
19;28644,71;;;
20;28568,0;;;
21;28341,56;;;
22;27495,11;;;
23;27404,73;;;
24;26933,0;;;
25;26311,0;;;
26;25799,0;;;
27;25725,6;;;
28;25607,21;;;
29;25568,35;;;
30;25542,8;;;
31;25534,3;;;
32;25067,0;;;
33;24702,46;;;
34;24565,1;;;
35;24147,83;;;
36;22942,0;;;
37;22910,0;;;
38;22770,14;;;
39;22768,8;;;
40;22143,88;;;
41;21856,31;;;
42;21705,03;;;
43;21687,82;;;
44;21626,0;;;
45;21605,56;;;
46;21599,0;;;
47;21580,02;;;
48;20994,98;;;
49;20990,26;;;
50;20951,89;;;
51;20826,05;;;
52;20517,67;;;
53;20484,32;;;
54;20464,19;;;
55;20400,49;;;
56;20284,24;;;
57;20202,0;;;
58;20194,16;;;
59;20156,0;;;
60;20090,43;;;
61;19622,0;;;
62;19545,35;;;
63;19502,77;;;
64;19387,0;;;
65;19185,0;;;
66;19171,14;;;
67;19095,62;;;
68;19063,86;;;
69;19000,0;;;
70;18988,35;;;
71;18964,78;;;
72;18954,85;;;
73;18941,13;;;
74;18812,39;;;
75;18530,71;;;
76;18331,48;;;
77;18312,0;;;
78;18254,09;;;
79;18117,0;;;
80;18116,23;;;
81;18033,0;;;
82;17992,56;;;
83;17927,06;;;
84;17777,71;;;
85;17698,0;;;
86;17693,0;;;
87;17597,02;;;
88;17506,98;;;
89;17503,79;;;
90;17455,12;;;
91;17392,0;;;
92;17361,82;;;
93;17319,13;;;
94;17290,48;;;
95;17289,96;;;
96;17181,06;;;
97;17071,0;;;
98;17053,29;;;
99;16907,22;;;
100;16897,3;;;
101;16868,78;;;
102;16855,13;;;
103;16766,0;;;
104;16762,0;;;
105;16757,83;;;
106;16740,15;;;
107;16729,97;;;
108;16533,49;;;
109;16530,44;;;
110;16529,58;;;
111;16505,92;;;
112;16420,0;;;
113;16388,54;;;
114;16330,59;;;
115;15846,0;;;
116;15803,53;;;
117;15769,59;;;
118;15748,0;;;
119;15717,0;;;
120;15709,74;;;
121;15651,98;;;
122;15649,52;;;
123;15597,0;;;
124;15585,23;;;
125;15556,96;;;
126;15527,71;;;
127;15496,53;;;
128;15439,62;;;
129;15435,43;;;
130;15376,39;;;
131;15365,12;;;
132;15365,0;;;
133;15322,68;;;
